,subject,item,transition_start,transition_end,transition_duration,transition_start_trial,transition_end_trial,transition_duration_trial
15861,22,Garlic,5,-1,-1,83,-1,-1
15865,22,Frog,3,14,11,93,438,345
15876,22,Dolphin,3,19,16,46,221,175
15895,22,Clock,-1,-1,-1,-1,-1,-1
15896,22,Camel,-1,-1,-1,-1,-1,-1
16559,23,Pencil,0,17,17,0,177,177
16560,23,Banana,0,-1,-1,1,-1,-1
16561,23,Karate,0,18,18,2,578,576
16562,23,Strawberry,0,11,11,3,59,56
16566,23,Cards,0,44,44,7,661,654
16567,23,Corn,0,-1,-1,8,-1,-1
16570,23,Mouse,0,9,9,11,288,277
16576,23,Coat,0,28,28,17,548,531
16577,23,Sweater,0,31,31,18,155,137
16581,23,Garlic,0,-1,-1,22,-1,-1
16585,23,Frog,0,-1,-1,26,-1,-1
16596,23,Dolphin,0,59,59,37,591,554
16615,23,Clock,0,-1,-1,56,-1,-1
16616,23,Camel,0,-1,-1,57,-1,-1
17279,24,Sweater,10,53,43,116,531,415
17280,24,Garlic,11,29,18,187,575,388
17281,24,Frog,19,19,0,597,597,0
17282,24,Clock,23,25,2,119,131,12
17286,24,Dolphin,11,21,10,141,321,180
17287,24,Mouse,17,-1,-1,487,-1,-1
17290,24,Coat,10,13,3,315,414,99
17296,24,Cards,22,29,7,425,561,136
17297,24,Camel,4,8,4,30,42,12
17301,24,Pencil,13,-1,-1,209,-1,-1
17305,24,Banana,11,-1,-1,340,-1,-1
17316,24,Strawberry,14,25,11,161,285,124
17335,24,Corn,-1,-1,-1,-1,-1,-1
17336,24,Karate,-1,-1,-1,-1,-1,-1
17999,25,Sweater,9,22,13,115,236,121
18000,25,Garlic,10,21,11,184,431,247
18001,25,Frog,5,14,9,127,435,308
18002,25,Clock,3,6,3,12,34,22
18006,25,Dolphin,3,24,21,16,380,364
18007,25,Mouse,8,18,10,240,565,325
18010,25,Coat,3,15,12,78,473,395
18016,25,Cards,5,10,5,108,219,111
18017,25,Camel,7,8,1,39,42,3
18021,25,Pencil,5,36,31,83,566,483
18025,25,Banana,17,-1,-1,535,-1,-1
18036,25,Strawberry,5,25,20,50,285,235
18055,25,Corn,6,-1,-1,418,-1,-1
18056,25,Karate,6,9,3,388,589,201
18719,26,Sweater,0,22,22,0,236,236
18720,26,Garlic,0,16,16,1,309,308
18721,26,Frog,0,9,9,2,252,250
18722,26,Clock,0,8,8,3,51,48
18726,26,Dolphin,0,6,6,7,77,70
18727,26,Mouse,0,12,12,8,362,354
18730,26,Coat,0,6,6,11,200,189
18736,26,Cards,0,17,17,17,356,339
18737,26,Camel,0,4,4,18,30,12
18741,26,Pencil,0,10,10,22,150,128
18745,26,Banana,0,12,12,26,386,360
18756,26,Strawberry,0,19,19,37,221,184
18775,26,Corn,0,9,9,56,595,539
18776,26,Karate,0,3,3,57,191,134
19439,27,Camel,11,44,33,117,427,310
19440,27,Pencil,9,25,16,181,498,317
19441,27,Banana,9,-1,-1,252,-1,-1
19442,27,Corn,10,10,0,55,55,0
19446,27,Strawberry,18,-1,-1,263,-1,-1
19447,27,Coat,-1,-1,-1,-1,-1,-1
19450,27,Cards,18,-1,-1,562,-1,-1
19456,27,Dolphin,8,28,20,167,548,381
19457,27,Karate,10,10,0,52,52,0
19461,27,Sweater,22,29,7,328,458,130
19465,27,Garlic,-1,-1,-1,-1,-1,-1
19476,27,Clock,15,25,10,162,285,123
19495,27,Mouse,-1,-1,-1,-1,-1,-1
19496,27,Frog,-1,-1,-1,-1,-1,-1
20159,28,Camel,0,13,13,0,125,125
20160,28,Pencil,0,-1,-1,1,-1,-1
20161,28,Banana,0,11,11,2,316,314
20162,28,Corn,0,21,21,3,110,107
20166,28,Strawberry,0,5,5,7,74,67
20167,28,Coat,0,16,16,8,484,476
20170,28,Cards,0,18,18,11,562,551
20176,28,Dolphin,0,14,14,17,293,276
20177,28,Karate,0,7,7,18,39,21
20181,28,Sweater,0,11,11,22,153,131
20185,28,Garlic,0,4,4,26,148,122
20196,28,Clock,0,1,1,37,40,3
20215,28,Mouse,0,-1,-1,56,-1,-1
20216,28,Frog,0,-1,-1,57,-1,-1
20879,29,Camel,0,9,9,0,115,115
20880,29,Pencil,0,6,6,1,120,119
20881,29,Banana,0,5,5,2,127,125
20882,29,Corn,0,8,8,3,51,48
20886,29,Strawberry,0,9,9,7,135,128
20887,29,Coat,0,11,11,8,355,347
20890,29,Cards,0,8,8,11,264,253
20896,29,Dolphin,0,7,7,17,166,149
20897,29,Karate,0,11,11,18,58,40
20901,29,Sweater,0,11,11,22,153,131
20905,29,Garlic,0,5,5,26,151,125
20916,29,Clock,0,14,14,37,161,124
20935,29,Mouse,0,1,1,56,102,46
20936,29,Frog,0,-1,-1,57,-1,-1
21599,30,Karate,-1,-1,-1,-1,-1,-1
21600,30,Sweater,-1,-1,-1,-1,-1,-1
21601,30,Garlic,-1,-1,-1,-1,-1,-1
21602,30,Mouse,-1,-1,-1,-1,-1,-1
21606,30,Clock,-1,-1,-1,-1,-1,-1
21607,30,Cards,-1,-1,-1,-1,-1,-1
21610,30,Dolphin,-1,-1,-1,-1,-1,-1
21616,30,Strawberry,-1,-1,-1,-1,-1,-1
21617,30,Frog,-1,-1,-1,-1,-1,-1
21621,30,Camel,-1,-1,-1,-1,-1,-1
21625,30,Pencil,-1,-1,-1,-1,-1,-1
21636,30,Corn,-1,-1,-1,-1,-1,-1
21655,30,Coat,-1,-1,-1,-1,-1,-1
21656,30,Banana,-1,-1,-1,-1,-1,-1
22319,31,Karate,-1,-1,-1,-1,-1,-1
22320,31,Sweater,-1,-1,-1,-1,-1,-1
22321,31,Garlic,-1,-1,-1,-1,-1,-1
22322,31,Mouse,-1,-1,-1,-1,-1,-1
22326,31,Clock,-1,-1,-1,-1,-1,-1
22327,31,Cards,-1,-1,-1,-1,-1,-1
22330,31,Dolphin,-1,-1,-1,-1,-1,-1
22336,31,Strawberry,-1,-1,-1,-1,-1,-1
22337,31,Frog,-1,-1,-1,-1,-1,-1
22341,31,Camel,-1,-1,-1,-1,-1,-1
22345,31,Pencil,-1,-1,-1,-1,-1,-1
22356,31,Corn,-1,-1,-1,-1,-1,-1
22375,31,Coat,-1,-1,-1,-1,-1,-1
22376,31,Banana,-1,-1,-1,-1,-1,-1
23039,32,Karate,0,9,9,0,115,115
23040,32,Sweater,0,32,32,1,655,654
23041,32,Garlic,0,-1,-1,2,-1,-1
23042,32,Mouse,0,18,18,3,84,81
23046,32,Clock,0,20,20,7,307,300
23047,32,Cards,0,-1,-1,8,-1,-1
23050,32,Dolphin,0,17,17,11,532,521
23056,32,Strawberry,0,19,19,17,364,347
23057,32,Frog,0,15,15,18,85,67
23061,32,Camel,0,17,17,22,275,253
23065,32,Pencil,0,-1,-1,26,-1,-1
23076,32,Corn,0,25,25,37,285,248
23095,32,Coat,0,-1,-1,56,-1,-1
23096,32,Banana,0,-1,-1,57,-1,-1
23759,33,Frog,-1,-1,-1,-1,-1,-1
23760,33,Camel,-1,-1,-1,-1,-1,-1
23761,33,Pencil,-1,-1,-1,-1,-1,-1
23762,33,Coat,-1,-1,-1,-1,-1,-1
23766,33,Corn,-1,-1,-1,-1,-1,-1
23767,33,Dolphin,-1,-1,-1,-1,-1,-1
23770,33,Strawberry,-1,-1,-1,-1,-1,-1
23776,33,Clock,-1,-1,-1,-1,-1,-1
23777,33,Banana,-1,-1,-1,-1,-1,-1
23781,33,Karate,-1,-1,-1,-1,-1,-1
23785,33,Sweater,-1,-1,-1,-1,-1,-1
23796,33,Mouse,-1,-1,-1,-1,-1,-1
23815,33,Cards,-1,-1,-1,-1,-1,-1
23816,33,Garlic,-1,-1,-1,-1,-1,-1
24479,34,Frog,3,10,7,33,116,83
24480,34,Camel,14,27,13,248,556,308
24481,34,Pencil,-1,-1,-1,-1,-1,-1
24482,34,Coat,28,33,5,140,174,34
24486,34,Corn,13,29,16,194,449,255
24487,34,Dolphin,16,-1,-1,484,-1,-1
24490,34,Strawberry,7,10,3,203,315,112
24496,34,Clock,8,24,16,167,480,313
24497,34,Banana,31,36,5,155,190,35
24501,34,Karate,13,37,24,209,568,359
24505,34,Sweater,-1,-1,-1,-1,-1,-1
24516,34,Mouse,14,32,18,161,347,186
24535,34,Cards,-1,-1,-1,-1,-1,-1
24536,34,Garlic,-1,-1,-1,-1,-1,-1
25199,35,Frog,0,9,9,0,115,115
25200,35,Camel,0,14,14,1,248,247
25201,35,Pencil,0,-1,-1,2,-1,-1
25202,35,Coat,0,9,9,3,53,50
25206,35,Corn,0,22,22,7,324,317
25207,35,Dolphin,0,17,17,8,487,479
25210,35,Strawberry,0,12,12,11,371,360
25216,35,Clock,0,13,13,17,270,253
25217,35,Banana,0,12,12,18,72,54
